Year,CountryCode,Population
2012,DNK,5591572
2013,DNK,5614932
1960,DOM,3298021
1961,DOM,3408415
1962,DOM,3521164
1963,DOM,3635798
1964,DOM,3752313
1965,DOM,3868712
1966,DOM,3987090
1967,DOM,4108916
1968,DOM,4230877
1969,DOM,4352954
1970,DOM,4475871
1971,DOM,4599841
1972,DOM,4724801
1973,DOM,4851183
1974,DOM,4978582
1975,DOM,5106453
1976,DOM,5235318
1977,DOM,5365074
1978,DOM,5495443
1979,DOM,5625864
1980,DOM,5755800
1981,DOM,5885244
1982,DOM,6014979
1983,DOM,6147213
1984,DOM,6282104
1985,DOM,6417798
1986,DOM,6554325
1987,DOM,6692720
1988,DOM,6834207
1989,DOM,6980033
1990,DOM,7129004
1991,DOM,7278402
1992,DOM,7427340
1993,DOM,7576074
1994,DOM,7723934
1995,DOM,7869753
1996,DOM,8012314
1997,DOM,8150076
1998,DOM,8282126
1999,DOM,8411374
2000,DOM,8540791
2001,DOM,8669040
2002,DOM,8795101
2003,DOM,8919852
2004,DOM,9043127
2005,DOM,9164768
2006,DOM,9284168
2007,DOM,9402206
2008,DOM,9522948
2009,DOM,9648061
2010,DOM,9775755
2011,DOM,9903737
2012,DOM,10030882
2013,DOM,10157051
1960,DZA,11394307
1961,DZA,11598608
1962,DZA,11778260
1963,DZA,11969451
1964,DZA,12179099
1965,DZA,12381256
1966,DZA,12613389
1967,DZA,12897115
1968,DZA,13190975
1969,DZA,13491016
1970,DZA,13795915
1971,DZA,14110271
1972,DZA,14439748
1973,DZA,14786469
1974,DZA,15153602
1975,DZA,15724692
1976,DZA,16500516
1977,DZA,17134192
1978,DZA,17632645
1979,DZA,18166981
1980,DZA,18739378
1981,DZA,19351357
1982,DZA,20000096
1983,DZA,20682111
1984,DZA,21393530
1985,DZA,22132905
1986,DZA,22882553
1987,DZA,23586101
1988,DZA,24243018
1989,DZA,24889507
1990,DZA,25518074
1991,DZA,26133905
1992,DZA,26748303
1993,DZA,27354327
1994,DZA,27937006
1995,DZA,28478022
1996,DZA,28984634
1997,DZA,29476031
1998,DZA,29924668
1999,DZA,30346083
2000,DZA,30774621
2001,DZA,31200985
2002,DZA,31624696
2003,DZA,32055883
2004,DZA,32510186
2005,DZA,32956690
2006,DZA,33435080
2007,DZA,33983827
2008,DZA,34569592
2009,DZA,35196037
2010,DZA,35856344
2011,DZA,36543541
2012,DZA,37260563
2013,DZA,38000626
1960,ECU,4618158
1961,ECU,4751507
1962,ECU,4890425
1963,ECU,5034334
1964,ECU,5183283
1965,ECU,5337351
1966,ECU,5495761
1967,ECU,5658446
1968,ECU,5825663
1969,ECU,5997037
1970,ECU,6172215
1971,ECU,6350944
1972,ECU,6533630
1973,ECU,6720443
1974,ECU,6911123
1975,ECU,7105786
1976,ECU,7304349
1977,ECU,7506665
1978,ECU,7712718
1979,ECU,7922490
1980,ECU,8135845
1981,ECU,8352602
1982,ECU,8572607
1983,ECU,8795873
1984,ECU,9022979
1985,ECU,9254311
1986,ECU,9490096
1987,ECU,9729376
1988,ECU,9969788
1989,ECU,10210185
1990,ECU,10449837
1991,ECU,10686279
1992,ECU,10914222
1993,ECU,11132829
1994,ECU,11347652
1995,ECU,11561683
1996,ECU,11775221
1997,ECU,11987838
1998,ECU,12199693
1999,ECU,12412046
2000,ECU,12626507
2001,ECU,12845521
2002,ECU,13070609
2003,ECU,13301184
2004,ECU,13534593
2005,ECU,13770012
2006,ECU,14009061
2007,ECU,14251835
2008,ECU,14496797
2009,ECU,14742766
2010,ECU,14989585
2011,ECU,15237728
2012,ECU,15483883
2013,ECU,15722989
1960,EGY,27034499
1961,EGY,27747867
1962,EGY,28485022
1963,EGY,29245936
1964,EGY,30026648
1965,EGY,30818469
1966,EGY,31613132
1967,EGY,32408414
1968,EGY,33204629
1969,EGY,33995955
1970,EGY,34781986
1971,EGY,35555969
1972,EGY,36330768
1973,EGY,37120776
1974,EGY,37930374
1975,EGY,38775584
1976,EGY,39649050
1977,EGY,40577356
1978,EGY,41576636
1979,EGY,42632458
1980,EGY,43748556
1981,EGY,44899573
1982,EGY,46088647
1983,EGY,47353665
1984,EGY,48676443
1985,EGY,50035843
1986,EGY,51424313
1987,EGY,52841319
1988,EGY,54298446
1989,EGY,55765843
1990,EGY,57214630
1991,EGY,58611032
1992,EGY,59989142
1993,EGY,61382200
1994,EGY,62775847
1995,EGY,64166908
1996,EGY,65565195
1997,EGY,66993728
1998,EGY,68446011
1999,EGY,69907887
2000,EGY,71371371
2001,EGY,72854261
2002,EGY,74393759
2003,EGY,75963322
2004,EGY,77522427
2005,EGY,79075310
2006,EGY,80629670
2007,EGY,82218755
2008,EGY,83844783
2009,EGY,85501064
2010,EGY,87252413
2011,EGY,89200054
2012,EGY,91240376
2013,EGY,93377890
1960,ERI,993568
1961,ERI,1016932
1962,ERI,1041552
1963,ERI,1067295
1964,ERI,1094042
1965,ERI,1121739
1966,ERI,1150264
1967,ERI,1179554
1968,ERI,1209602
1969,ERI,1240562
1970,ERI,1272748
1971,ERI,1306234
1972,ERI,1340838
1973,ERI,1376516
1974,ERI,1413220
1975,ERI,1450867
1976,ERI,1489656
1977,ERI,1529802
1978,ERI,1571193
1979,ERI,1613829
1980,ERI,1657982
1981,ERI,1703789
1982,ERI,1751045
1983,ERI,1799814
1984,ERI,1849594
1985,ERI,1899243
1986,ERI,1949611
1987,ERI,2000355
1988,ERI,2051546
1989,ERI,2102131
1990,ERI,2149960
1991,ERI,2039220
1992,ERI,1921153
1993,ERI,1981419
1994,ERI,2042500
1995,ERI,2157220
1996,ERI,2264073
1997,ERI,2291561
1998,ERI,2322753
1999,ERI,2356477
2000,ERI,2392880
2001,ERI,2461927
2002,ERI,2547424
2003,ERI,2653390
2004,ERI,2763140
2005,ERI,2831732
2006,ERI,2880093
2007,ERI,2926168
2008,ERI,3005779
2009,ERI,3083888
2010,ERI,3147727
2011,ERI,3207570
2012,ERI,3252596
2013,ERI,3296367
1960,ESP,30455000
1961,ESP,30739250
1962,ESP,31023366
1963,ESP,31296651
1964,ESP,31609195
1965,ESP,31954292
1966,ESP,32283194
1967,ESP,32682947
1968,ESP,33113134
1969,ESP,33441054
1970,ESP,33814531
1971,ESP,34224490
1972,ESP,34604469
1973,ESP,34988947
1974,ESP,35373335
1975,ESP,35757900
1976,ESP,36137812
1977,ESP,36511638
1978,ESP,36864898
1979,ESP,37191330
1980,ESP,37491165
1981,ESP,37758631
1982,ESP,37986012
1983,ESP,38171525
1984,ESP,38330364
1985,ESP,38469512
1986,ESP,38584624
1987,ESP,38684815
1988,ESP,38766939
1989,ESP,38827764
1990,ESP,38867322
1991,ESP,38966376
1992,ESP,39157685
1993,ESP,39361262
1994,ESP,39549108
1995,ESP,39724050
1996,ESP,39889852
1997,ESP,40057389
1998,ESP,40223509
1999,ESP,40386875
2000,ESP,40567864
2001,ESP,40850412
2002,ESP,41431558
2003,ESP,42187645
2004,ESP,42921895
2005,ESP,43653155
2006,ESP,44397319
2007,ESP,45226803
2008,ESP,45954106
2009,ESP,46362946
2010,ESP,46576897
2011,ESP,46742697
2012,ESP,46773055
2013,ESP,46620045
1960,EST,1211537
1961,EST,1225077
1962,EST,1241623
1963,EST,1258857
1964,EST,1277086
1965,EST,1294566
1966,EST,1308597
1967,EST,1318946
1968,EST,1331214
1969,EST,1345249
1970,EST,1360076
1971,EST,1376955
1972,EST,1392518
1973,EST,1405951
1974,EST,1418169
1975,EST,1429352
1976,EST,1439576
1977,EST,1450211
1978,EST,1460188
1979,EST,1468333
1980,EST,1477219
1981,EST,1487666
1982,EST,1498414
1983,EST,1508745
1984,EST,1518617
1985,EST,1528781
1986,EST,1540190
1987,EST,1552221
1988,EST,1561900
1989,EST,1568131
1990,EST,1569174
1991,EST,1561314
1992,EST,1533091
1993,EST,1494128
1994,EST,1462514
1995,EST,1436634
1996,EST,1415594
1997,EST,1399535
1998,EST,1386156
1999,EST,1390244
2000,EST,1396985
2001,EST,1388115
2002,EST,1379350
2003,EST,1370720
2004,EST,1362550
2005,EST,1354775
2006,EST,1346810
2007,EST,1340680
2008,EST,1337090
2009,EST,1334515
2010,EST,1331475
2011,EST,1327439
2012,EST,1322696
2013,EST,1317997
1960,ETH,21739710
1961,ETH,22281675
1962,ETH,22852158
1963,ETH,23448979
1964,ETH,24073696
1965,ETH,24727506
1966,ETH,25377645
1967,ETH,26051596
1968,ETH,26778653
1969,ETH,27530388
1970,ETH,28308246
1971,ETH,29099594
1972,ETH,29891328
1973,ETH,30694316
1974,ETH,31488613
1975,ETH,32252783
1976,ETH,33062216
1977,ETH,33695018
1978,ETH,34259065
1979,ETH,34758823
1980,ETH,34945469
1981,ETH,35818844
1982,ETH,37213393
1983,ETH,38235187
1984,ETH,39202890
1985,ETH,40285965
1986,ETH,41455309
1987,ETH,42851957
1988,ETH,44511537
1989,ETH,46195954
1990,ETH,47878073
1991,ETH,49937430
1992,ETH,52011554
1993,ETH,53791672
1994,ETH,55620211
1995,ETH,57476536
1996,ETH,59347649
1997,ETH,61233480
1998,ETH,63136493
1999,ETH,65077579
2000,ETH,67031867
2001,ETH,69018932
2002,ETH,71073215
2003,ETH,73168838
2004,ETH,75301026
2005,ETH,77469940
2006,ETH,79691050
2007,ETH,81996185
2008,ETH,84357105
2009,ETH,86755585
2010,ETH,89237791
2011,ETH,91817929
2012,ETH,94451280
2013,ETH,97084366
1960,FIN,4429634
1961,FIN,4461005
1962,FIN,4491443
1963,FIN,4523309
1964,FIN,4548543
1965,FIN,4563732
1966,FIN,4580869
1967,FIN,4605744
1968,FIN,4626469
1969,FIN,4623785
1970,FIN,4606307
1971,FIN,4612124
1972,FIN,4639657
1973,FIN,4666081
1974,FIN,4690574
1975,FIN,4711440
1976,FIN,4725664
1977,FIN,4738902
1978,FIN,4752528
1979,FIN,4764690
1980,FIN,4779535
1981,FIN,4799964
1982,FIN,4826933
1983,FIN,4855787
1984,FIN,4881803
1985,FIN,4902206
1986,FIN,4918154
1987,FIN,4932123
1988,FIN,4946481
1989,FIN,4964371
1990,FIN,4986431
1991,FIN,5013740
1992,FIN,5041992
1993,FIN,5066447
1994,FIN,5088333
1995,FIN,5107790
1996,FIN,5124573
1997,FIN,5139835
1998,FIN,5153498
1999,FIN,5165474
2000,FIN,5176209
2001,FIN,5188008
2002,FIN,5200598
2003,FIN,5213014
2004,FIN,5228172
2005,FIN,5246096
2006,FIN,5266268
2007,FIN,5288720
2008,FIN,5313399
2009,FIN,5338871
2010,FIN,5363352
2011,FIN,5388272
2012,FIN,5413971
2013,FIN,5438972
1960,FJI,401841
1961,FJI,414534
1962,FJI,427695
1963,FJI,441385
1964,FJI,455214
1965,FJI,469010
1966,FJI,482358
1967,FJI,494632
1968,FJI,505979
1969,FJI,516952
1970,FJI,527634
1971,FJI,538000
1972,FJI,547918
1973,FJI,557244
1974,FJI,566296
1975,FJI,575804
1976,FJI,586607
1977,FJI,599289
1978,FJI,613611
1979,FJI,628859
1980,FJI,644582
1981,FJI,660630
1982,FJI,676967
1983,FJI,693593
1984,FJI,710561
1985,FJI,727461
1986,FJI,742658
1987,FJI,754778
1988,FJI,764370
1989,FJI,772704
1990,FJI,780430
1991,FJI,784832
1992,FJI,786859
1993,FJI,789198
1994,FJI,790803
1995,FJI,792246
1996,FJI,796538
1997,FJI,804572
1998,FJI,813947
1999,FJI,823422
2000,FJI,832509
2001,FJI,841320
2002,FJI,849891
2003,FJI,858306
2004,FJI,866694
2005,FJI,874923
2006,FJI,883083
2007,FJI,890648
2008,FJI,896731
2009,FJI,901383
2010,FJI,905169
2011,FJI,908355
2012,FJI,911059
2013,FJI,913453
1960,FRA,46649927
1961,FRA,47161641
1962,FRA,47679792
1963,FRA,48189939
1964,FRA,48733997
1965,FRA,49282756
1966,FRA,49817041
1967,FRA,50334012
1968,FRA,50817020
1969,FRA,51272683
1970,FRA,51724116
1971,FRA,52185222
1972,FRA,52637888
1973,FRA,53053660
1974,FRA,53415250
1975,FRA,53715733
1976,FRA,53966558
1977,FRA,54221988
1978,FRA,54486195
1979,FRA,54753575
1980,FRA,55052582
1981,FRA,55371044
1982,FRA,55694106
1983,FRA,55992656
1984,FRA,56275701
1985,FRA,56569195
1986,FRA,56865193
1987,FRA,57168409
1988,FRA,57472651
1989,FRA,57766282
1990,FRA,58044701
1991,FRA,58557577
1992,FRA,58849943
1993,FRA,59106166
1994,FRA,59327585
1995,FRA,59543659
1996,FRA,59756533
1997,FRA,59969944
1998,FRA,60192790
1999,FRA,60504420
2000,FRA,60921384
2001,FRA,61367388
2002,FRA,61816234
2003,FRA,62256970
2004,FRA,62716306
2005,FRA,63188395
2006,FRA,63628261
2007,FRA,64021737
2008,FRA,64379696
2009,FRA,64710879
2010,FRA,65030575
2011,FRA,65345233
2012,FRA,65662240
2013,FRA,66002289
1960,FRO,34154
1961,FRO,34572
1962,FRO,34963
1963,FRO,35385
1964,FRO,35841
1965,FRO,36346
1966,FRO,36825
1967,FRO,37234
1968,FRO,37630
1969,FRO,38011
1970,FRO,38416
1971,FRO,38861
1972,FRO,39304
1973,FRO,39746
1974,FRO,40189
1975,FRO,40626
1976,FRO,41054
1977,FRO,41481
1978,FRO,41965
1979,FRO,42506
1980,FRO,43054
1981,FRO,43613
1982,FRO,44164
1983,FRO,44669
1984,FRO,45135
1985,FRO,45575
1986,FRO,46011
1987,FRO,46477
1988,FRO,46959
1989,FRO,47490
1990,FRO,47479
1991,FRO,46810
1992,FRO,46005
1993,FRO,45096
1994,FRO,44131
1995,FRO,43805
1996,FRO,44138
1997,FRO,44495
1998,FRO,44865
1999,FRO,45203
2000,FRO,45660
2001,FRO,46245
2002,FRO,46813
2003,FRO,47392
2004,FRO,47989
2005,FRO,48291
2006,FRO,48313
2007,FRO,48361
2008,FRO,48411
2009,FRO,48429
2010,FRO,48410
2011,FRO,48386
2012,FRO,48392
2013,FRO,48418
1960,FSM,42986
1961,FSM,44563
1962,FSM,46200
1963,FSM,47758
1964,FSM,49231
1965,FSM,50759
1966,FSM,52346
1967,FSM,53940
1968,FSM,55553
1969,FSM,57236
1970,FSM,58989
1971,FSM,60673
1972,FSM,62265
1973,FSM,63889
1974,FSM,65552
1975,FSM,67121
1976,FSM,68602
1977,FSM,70144
1978,FSM,71983
1979,FSM,74114
1980,FSM,76299
1981,FSM,78531
1982,FSM,80816
1983,FSM,83153
1984,FSM,85543
1985,FSM,87966
1986,FSM,90397
1987,FSM,92845
1988,FSM,94987
1989,FSM,96796
1990,FSM,98603
1991,FSM,100427
1992,FSM,102893
1993,FSM,106030
1994,FSM,108844
1995,FSM,110328
1996,FSM,110785
1997,FSM,111133
1998,FSM,111406
1999,FSM,111539
2000,FSM,111709
2001,FSM,111948
2002,FSM,111992
2003,FSM,111805
2004,FSM,111438
2005,FSM,110940
2006,FSM,110301
2007,FSM,109532
2008,FSM,108704
2009,FSM,107868
2010,FSM,107588
2011,FSM,107887
2012,FSM,108232
2013,FSM,108609
1960,GAB,513340
1961,GAB,519329
1962,GAB,525754
1963,GAB,532592
1964,GAB,539830
1965,GAB,547535
1966,GAB,555748
1967,GAB,564436
1968,GAB,573611
1969,GAB,584628
1970,GAB,597192
1971,GAB,609693
1972,GAB,622289
1973,GAB,635288
1974,GAB,648922
1975,GAB,663340
1976,GAB,678660
1977,GAB,694931
1978,GAB,712135
1979,GAB,730188
1980,GAB,749078
1981,GAB,768904
1982,GAB,789585
1983,GAB,811098
1984,GAB,833417
1985,GAB,856482
1986,GAB,880340
1987,GAB,905016
1988,GAB,930464
1989,GAB,956509
1990,GAB,983028
1991,GAB,1009995
1992,GAB,1037446
1993,GAB,1065390
1994,GAB,1093611
1995,GAB,1121964
1996,GAB,1150601
1997,GAB,1179806
1998,GAB,1209832
1999,GAB,1240764
2000,GAB,1272935
2001,GAB,1306590
2002,GAB,1341696
2003,GAB,1378398
2004,GAB,1417110
2005,GAB,1458353
2006,GAB,1502534
2007,GAB,1549774
2008,GAB,1599978
2009,GAB,1653542
2010,GAB,1711105
2011,GAB,1772500
2012,GAB,1836705
2013,GAB,1902226
1960,GBR,52400000
1961,GBR,52800000
1962,GBR,53250000
1963,GBR,53650000
1964,GBR,54000000
1965,GBR,54348050
1966,GBR,54648500
1967,GBR,54943600
1968,GBR,55211700
1969,GBR,55441750
1970,GBR,55663250
1971,GBR,55896223
1972,GBR,56086065
1973,GBR,56194527
1974,GBR,56229974
1975,GBR,56225800
1976,GBR,56211968
1977,GBR,56193492
1978,GBR,56196504
1979,GBR,56246951
1980,GBR,56314216
1981,GBR,56333829
1982,GBR,56313641
1983,GBR,56332848
1984,GBR,56422072
1985,GBR,56550268
1986,GBR,56681396
1987,GBR,56802050
1988,GBR,56928327
1989,GBR,57076711
1990,GBR,57247586
1991,GBR,57424897
1992,GBR,57580402
1993,GBR,57718614
1994,GBR,57865745
1995,GBR,58019030
1996,GBR,58166950
1997,GBR,58316954
1998,GBR,58487141
1999,GBR,58682466
2000,GBR,58892514
2001,GBR,59119673
2002,GBR,59370479
2003,GBR,59647577
2004,GBR,59987905
2005,GBR,60401206
2006,GBR,60846820
2007,GBR,61322463
2008,GBR,61806995
2009,GBR,62276270
2010,GBR,62766365
2011,GBR,63258810
2012,GBR,63700215
2013,GBR,64128273
1960,GEO,3645600
1961,GEO,3703600
1962,GEO,3760300
1963,GEO,3816100
1964,GEO,3870300
1965,GEO,3921600
1966,GEO,3966700
1967,GEO,4005800
1968,GEO,4042300
1969,GEO,4080300
1970,GEO,4119900
1971,GEO,4163000
1972,GEO,4205300
1973,GEO,4242500
1974,GEO,4279500
1975,GEO,4311200
1976,GEO,4342400
1977,GEO,4372100
1978,GEO,4397700
1979,GEO,4430200
1980,GEO,4467700
1981,GEO,4504500
1982,GEO,4542800
1983,GEO,4582900
1984,GEO,4622200
1985,GEO,4662900
1986,GEO,4704500
1987,GEO,4743500
1988,GEO,4790700
1989,GEO,4803300
1990,GEO,4802000
1991,GEO,4835900
1992,GEO,4873500
1993,GEO,4911100
1994,GEO,4836076
1995,GEO,4657722
1996,GEO,4491699
1997,GEO,4349913
1998,GEO,4243607
1999,GEO,4157192
2000,GEO,4077131
2001,GEO,4014373
2002,GEO,3978515
2003,GEO,3951736
2004,GEO,3927340
2005,GEO,3902469
2006,GEO,3880347
2007,GEO,3860158
2008,GEO,3848449
2009,GEO,3814419
2010,GEO,3786695
2011,GEO,3756441
2012,GEO,3728874
2013,GEO,3717668
1960,GHA,6911510
1961,GHA,7109029
1962,GHA,7281192
1963,GHA,7458243
1964,GHA,7640196
1965,GHA,7827726
1966,GHA,8019658
1967,GHA,8216086
1968,GHA,8418152
1969,GHA,8629855
1970,GHA,8861895
1971,GHA,9108878
1972,GHA,9365952
1973,GHA,9637197
1974,GHA,9918979
1975,GHA,10209848
1976,GHA,10509006
1977,GHA,10825496
1978,GHA,11163230
1979,GHA,11515675
1980,GHA,11865246
1981,GHA,12212960
1982,GHA,12584976
1983,GHA,12984131
1984,GHA,13342487
1985,GHA,13651443
1986,GHA,13971682
1987,GHA,14310790
1988,GHA,14671677
1989,GHA,15052447
1990,GHA,15446982
1991,GHA,15843471
1992,GHA,16241548
1993,GHA,16643633
1994,GHA,17040854
1995,GHA,17438874
1996,GHA,17844010
1997,GHA,18268040
1998,GHA,18714708
1999,GHA,19176791
2000,GHA,19665502
2001,GHA,20195577
2002,GHA,20758326
2003,GHA,21329514
2004,GHA,21906444
2005,GHA,22496951
2006,GHA,23098586
2007,GHA,23708320
2008,GHA,24326087
2009,GHA,24950762
2010,GHA,25574719
2011,GHA,26205941
2012,GHA,26858762
2013,GHA,27525597
1960,GIN,3516814
1961,GIN,3578631
1962,GIN,3642324
1963,GIN,3707945
1964,GIN,3775510
1965,GIN,3845074
1966,GIN,3916780
1967,GIN,3990760
1968,GIN,4067333
1969,GIN,4145194
1970,GIN,4222374
1971,GIN,4298087
1972,GIN,4372212
1973,GIN,4445207
1974,GIN,4517073
1975,GIN,4588006
1976,GIN,4658743
1977,GIN,4730375
1978,GIN,4804926
1979,GIN,4885199
1980,GIN,4972609
1981,GIN,5067427
1982,GIN,5170731
1983,GIN,5282274
1984,GIN,5402084
1985,GIN,5531661
1986,GIN,5671380
1987,GIN,5820774
1988,GIN,5977175
1989,GIN,6136166
1990,GIN,6354145
1991,GIN,6615734
1992,GIN,6832195
1993,GIN,7046097
1994,GIN,7262112
1995,GIN,7468347
1996,GIN,7683115
1997,GIN,7842806
1998,GIN,7992545
1999,GIN,8174897
2000,GIN,8336967
2001,GIN,8445717
2002,GIN,8577790
2003,GIN,8772254
2004,GIN,8961039
2005,GIN,9140114
2006,GIN,9330625
2007,GIN,9547082
2008,GIN,9779785
2009,GIN,10021323
2010,GIN,10270728
2011,GIN,10527712
2012,GIN,10788692
2013,GIN,11055430
1960,GMB,399649
1961,GMB,410801
1962,GMB,422310
1963,GMB,434173
1964,GMB,446375
1965,GMB,458908
1966,GMB,471753
1967,GMB,485132
1968,GMB,499151
1969,GMB,513686
1970,GMB,528731
1971,GMB,544317
1972,GMB,560553
1973,GMB,577488
1974,GMB,594904
1975,GMB,612909
1976,GMB,631894
1977,GMB,651934
1978,GMB,672974
1979,GMB,695155
1980,GMB,718586
1981,GMB,742846
1982,GMB,768272
1983,GMB,795563
1984,GMB,824798
1985,GMB,855958
1986,GMB,888980
1987,GMB,923914
1988,GMB,960837
1989,GMB,999732
1990,GMB,1040616
1991,GMB,1083536
1992,GMB,1127152
1993,GMB,1168309
1994,GMB,1205882
1995,GMB,1242155
1996,GMB,1279070
1997,GMB,1317002
1998,GMB,1356189
1999,GMB,1396499
2000,GMB,1437539
2001,GMB,1479449
2002,GMB,1522223
2003,GMB,1566257
2004,GMB,1612225
2005,GMB,1660368
2006,GMB,1711294
2007,GMB,1764883
2008,GMB,1820542
2009,GMB,1878119
2010,GMB,1937275
2011,GMB,1998212
2012,GMB,2061014
2013,GMB,2124869
1960,GNB,577933
1961,GNB,583107
1962,GNB,590399
1963,GNB,595802
1964,GNB,590481
1965,GNB,577638
1966,GNB,570375
1967,GNB,573380
1968,GNB,583475
1969,GNB,587880
1970,GNB,591663
1971,GNB,594501
1972,GNB,595950
1973,GNB,603203
1974,GNB,623576
1975,GNB,659635
1976,GNB,701016
1977,GNB,746588
1978,GNB,794328
1979,GNB,821598
1980,GNB,831462
1981,GNB,844957
1982,GNB,858630
1983,GNB,872394
1984,GNB,886210
1985,GNB,900088
1986,GNB,914122
1987,GNB,928408
1988,GNB,943080
1989,GNB,958239
1990,GNB,973551
1991,GNB,993856
1992,GNB,1022904
1993,GNB,1056761
1994,GNB,1089617
1995,GNB,1117222
1996,GNB,1140604
1997,GNB,1162443
1998,GNB,1184071
1999,GNB,1206474
2000,GNB,1230849
2001,GNB,1257380
2002,GNB,1285678
2003,GNB,1315653
2004,GNB,1347009
2005,GNB,1379713
2006,GNB,1414091
2007,GNB,1450572
2008,GNB,1488431
2009,GNB,1527196
2010,GNB,1567220
2011,GNB,1609017
2012,GNB,1652717
2013,GNB,1697753
1960,GNQ,267351
1961,GNQ,272264
1962,GNQ,277490
1963,GNQ,283018
1964,GNQ,288852
1965,GNQ,295010
1966,GNQ,301517
1967,GNQ,308374
1968,GNQ,315325
1969,GNQ,318846
1970,GNQ,316955
1971,GNQ,311952
1972,GNQ,305362
1973,GNQ,298050
1974,GNQ,290558
1975,GNQ,283262
1976,GNQ,276000
1977,GNQ,271377
1978,GNQ,270866
1979,GNQ,273925
1980,GNQ,282509
1981,GNQ,296950
1982,GNQ,315741
1983,GNQ,336744
1984,GNQ,357995
1985,GNQ,378379
1986,GNQ,397276
1987,GNQ,414769
1988,GNQ,431587
1989,GNQ,448420
1990,GNQ,465549
1991,GNQ,483142
1992,GNQ,501334
1993,GNQ,520236
1994,GNQ,539992
1995,GNQ,560740
1996,GNQ,582573
1997,GNQ,605570
1998,GNQ,629734
1999,GNQ,655029
2000,GNQ,684977
2001,GNQ,719270
2002,GNQ,754115
2003,GNQ,789681
2004,GNQ,826355
2005,GNQ,864726
2006,GNQ,905418
2007,GNQ,948814
2008,GNQ,994971
2009,GNQ,1043686
2010,GNQ,1094524
2011,GNQ,1144588
2012,GNQ,1193636
2013,GNQ,1243941
1960,GRC,8331725
1961,GRC,8398050
1962,GRC,8448233
1963,GRC,8479625
1964,GRC,8510429
1965,GRC,8550333
1966,GRC,8613651
1967,GRC,8684088
1968,GRC,8740765
1969,GRC,8772764
1970,GRC,8792806
1971,GRC,8831036
1972,GRC,8888628
1973,GRC,8929086
1974,GRC,8962022
1975,GRC,9046541
1976,GRC,9188150
1977,GRC,9308479
1978,GRC,9429959
1979,GRC,9548258
1980,GRC,9642505
1981,GRC,9729350
1982,GRC,9789513
1983,GRC,9846627
1984,GRC,9895801
1985,GRC,9934300
1986,GRC,9967213
1987,GRC,10000595
1988,GRC,10036983
1989,GRC,10089498
1990,GRC,10196792
1991,GRC,10319927
1992,GRC,10399061
1993,GRC,10460415
1994,GRC,10512922
1995,GRC,10562153
1996,GRC,10608800
1997,GRC,10661259
1998,GRC,10720509
1999,GRC,10761698
2000,GRC,10805808
2001,GRC,10862132
2002,GRC,10902022
2003,GRC,10928070
2004,GRC,10955141
2005,GRC,10987314
2006,GRC,11020362
2007,GRC,11048473
2008,GRC,11077841
2009,GRC,11107017
2010,GRC,11121341
2011,GRC,11104899
2012,GRC,11045011
2013,GRC,10965211
1960,GRD,93772
1961,GRD,95096
1962,GRD,96052
1963,GRD,96882
1964,GRD,97613
1965,GRD,98226
1966,GRD,98692
1967,GRD,98977
1968,GRD,99056
1969,GRD,98975
1970,GRD,98794
1971,GRD,98535
1972,GRD,98225
1973,GRD,97886
1974,GRD,97528
1975,GRD,97165
1976,GRD,96781
1977,GRD,96329
1978,GRD,95811
1979,GRD,95242
1980,GRD,94838
1981,GRD,95222
1982,GRD,96534
1983,GRD,98177
1984,GRD,99618
1985,GRD,100576
1986,GRD,100893
1987,GRD,100599
1988,GRD,99877
1989,GRD,99224
1990,GRD,99047
1991,GRD,99758
1992,GRD,101040
1993,GRD,102173
1994,GRD,103174
1995,GRD,104060
1996,GRD,104846
1997,GRD,105549
1998,GRD,106200
1999,GRD,106823
2000,GRD,107432
2001,GRD,107936
2002,GRD,108231
2003,GRD,108740
2004,GRD,109516
2005,GRD,110254
2006,GRD,110988
2007,GRD,111725
2008,GRD,112478
2009,GRD,113249
2010,GRD,114039
2011,GRD,114918
2012,GRD,115912
2013,GRD,116945
1960,GRL,32500
1961,GRL,33700
1962,GRL,35000
1963,GRL,36400
1964,GRL,37600
1965,GRL,39200
1966,GRL,40500
1967,GRL,41900
1968,GRL,43400
1969,GRL,44900
1970,GRL,46400
1971,GRL,47200
1972,GRL,48300
1973,GRL,49000
1974,GRL,49500
1975,GRL,49600
1976,GRL,49700
1977,GRL,49400
1978,GRL,49200
1979,GRL,49600
1980,GRL,50200
1981,GRL,51000
1982,GRL,51500
1983,GRL,52100
1984,GRL,52700
1985,GRL,53200
1986,GRL,53500
1987,GRL,54100
1988,GRL,54800
1989,GRL,55300
1990,GRL,55600
1991,GRL,55500
1992,GRL,55300
1993,GRL,55200
1994,GRL,55500
1995,GRL,55800
1996,GRL,55900
1997,GRL,56000
1998,GRL,56100
1999,GRL,56100
2000,GRL,56200
2001,GRL,56350
2002,GRL,56609
2003,GRL,56765
2004,GRL,56911
2005,GRL,56935
2006,GRL,56774
2007,GRL,56555
2008,GRL,56328
2009,GRL,56323
2010,GRL,56905
2011,GRL,56890
2012,GRL,56810
2013,GRL,56483
1960,GTM,4128880
1961,GTM,4251911
1962,GTM,4378604
1963,GTM,4508444
1964,GTM,4640795
1965,GTM,4774984
1966,GTM,4910790
1967,GTM,5047435
1968,GTM,5184095
1969,GTM,5320100
1970,GTM,5455197
